county,year,state_county_fips,state_fips_code,county_fips_code,total_admission_count,total_admission_percent,total_rate_per_100k_county_pop,felon_new_admission_count,felon_new_admission_percent,parole_violator_new_term_count,parole_violator_new_term_percent
san bernardino county,2005,06071,06,071,6103,8.9,314.2,4117,8.5,1986,10.1
san diego county,2005,06073,06,073,4717,6.9,154,3152,6.5,1565,7.9
san francisco county,2005,06075,06,075,436,0.6,54.8,331,0.7,105,0.5
san joaquin county,2005,06077,06,077,1004,1.5,152.2,863,1.8,141,0.7
san luis obispo county,2005,06079,06,079,357,0.5,135.9,263,0.5,94,0.5
san mateo county,2005,06081,06,081,787,1.2,108.8,601,1.2,186,0.9
santa barbara county,2005,06083,06,083,879,1.3,209.5,654,1.3,225,1.1
santa clara county,2005,06085,06,085,2388,3.5,135.9,1799,3.7,589,3
santa cruz county,2005,06087,06,087,251,0.4,95.7,207,0.4,44,0.2
shasta county,2005,06089,06,089,607,0.9,334.6,471,1,136,0.7
sierra county,2005,06091,06,091,6,0,168,6,0,0,0
siskiyou county,2005,06093,06,093,64,0.1,141.4,48,0.1,16,0.1
solano county,2005,06095,06,095,746,1.1,174.5,550,1.1,196,1
sonoma county,2005,06097,06,097,433,0.6,89.1,363,0.7,70,0.4
stanislaus county,2005,06099,06,099,863,1.3,169.7,573,1.2,290,1.5
sutter county,2005,06101,06,101,276,0.4,312.6,233,0.5,43,0.2
tehama county,2005,06103,06,103,261,0.4,436.5,212,0.4,49,0.2
trinity county,2005,06105,06,105,15,0,111,12,0,3,0
tulare county,2005,06107,06,107,910,1.3,222.9,700,1.4,210,1.1
tuolumne county,2005,06109,06,109,107,0.2,184.5,83,0.2,24,0.1
ventura county,2005,06111,06,111,722,1.1,88.3,553,1.1,169,0.9
yolo county,2005,06113,06,113,510,0.7,262.4,397,0.8,113,0.6
yuba county,2005,06115,06,115,220,0.3,330.8,170,0.3,50,0.3
alameda county,2004,06001,06,001,1631,2.5,104.9,1169,2.5,462,2.6
alpine county,2004,06003,06,003,1,0,74.4,1,0,0,0
amador county,2004,06005,06,005,73,0.1,200.7,63,0.1,10,0.1
butte county,2004,06007,06,007,598,0.9,260.1,516,1.1,82,0.5
calaveras county,2004,06009,06,009,71,0.1,150.1,65,0.1,6,0
colusa county,2004,06011,06,011,36,0.1,143.2,32,0.1,4,0
contra costa county,2004,06013,06,013,620,1,63.7,478,1,142,0.8
del norte county,2004,06015,06,015,50,0.1,148.2,43,0.1,7,0
el dorado county,2004,06017,06,017,158,0.2,85.1,122,0.3,36,0.2
fresno county,2004,06019,06,019,2066,3.2,237.9,1631,3.5,435,2.4
glenn county,2004,06021,06,021,79,0.1,237.5,70,0.1,9,0.1
humboldt county,2004,06023,06,023,278,0.4,211.3,193,0.4,85,0.5
imperial county,2004,06025,06,025,230,0.4,126.9,160,0.3,70,0.4
inyo county,2004,06027,06,027,40,0.1,213.2,33,0.1,7,0
kern county,2004,06029,06,029,2262,3.5,302.6,1653,3.5,609,3.4
kings county,2004,06031,06,031,525,0.8,381.7,445,1,80,0.4
lake county,2004,06033,06,033,204,0.3,300.6,169,0.4,35,0.2
lassen county,2004,06035,06,035,49,0.1,125.2,40,0.1,9,0.1
los angeles county,2004,06037,06,037,21452,33.2,211,15128,32.3,6324,35.4
madera county,2004,06039,06,039,343,0.5,236.5,282,0.6,61,0.3
marin county,2004,06041,06,041,77,0.1,30.4,62,0.1,15,0.1
mariposa county,2004,06043,06,043,29,0,156.8,26,0.1,3,0
mendocino county,2004,06045,06,045,184,0.3,190.6,160,0.3,24,0.1
merced county,2004,06047,06,047,505,0.8,215.4,398,0.9,107,0.6
modoc county,2004,06049,06,049,24,0,220.2,22,0,2,0
mono county,2004,06051,06,051,11,0,95.1,7,0,4,0
monterey county,2004,06053,06,053,649,1,149.9,500,1.1,149,0.8
napa county,2004,06055,06,055,164,0.3,121.9,126,0.3,38,0.2
nevada county,2004,06057,06,057,45,0.1,41.9,36,0.1,9,0.1
orange county,2004,06059,06,059,4368,6.8,146.3,3211,6.9,1157,6.5
placer county,2004,06061,06,061,375,0.6,134.4,285,0.6,90,0.5
plumas county,2004,06063,06,063,35,0.1,163.1,33,0.1,2,0
riverside county,2004,06065,06,065,4675,7.2,261,3100,6.6,1575,8.8
sacramento county,2004,06067,06,067,1879,2.9,143.9,1310,2.8,569,3.2
san benito county,2004,06069,06,069,55,0.1,93.7,49,0.1,6,0
san bernardino county,2004,06071,06,071,5795,9,303.9,3976,8.5,1819,10.2
san diego county,2004,06073,06,073,4215,6.5,132.9,2836,6.1,1379,7.7
san francisco county,2004,06075,06,075,407,0.6,51.2,310,0.7,97,0.5
san joaquin county,2004,06077,06,077,894,1.4,140.8,760,1.6,134,0.8
san luis obispo county,2004,06079,06,079,296,0.5,104.4,217,0.5,79,0.4
san mateo county,2004,06081,06,081,742,1.1,94.5,554,1.2,188,1.1
santa barbara county,2004,06083,06,083,643,1,148.5,464,1,179,1
santa clara county,2004,06085,06,085,2312,3.6,122.5,1781,3.8,531,3
santa cruz county,2004,06087,06,087,159,0.2,57.1,125,0.3,34,0.2
shasta county,2004,06089,06,089,563,0.9,293.3,487,1,76,0.4
sierra county,2004,06091,06,091,4,0,114.4,4,0,0,0
siskiyou county,2004,06093,06,093,72,0.1,153.6,58,0.1,14,0.1
solano county,2004,06095,06,095,747,1.2,172.6,550,1.2,197,1.1
sonoma county,2004,06097,06,097,421,0.7,84.9,352,0.8,69,0.4
stanislaus county,2004,06099,06,099,759,1.2,148.5,539,1.2,220,1.2
sutter county,2004,06101,06,101,226,0.3,251.4,188,0.4,38,0.2
tehama county,2004,06103,06,103,221,0.3,359.6,183,0.4,38,0.2
trinity county,2004,06105,06,105,25,0,178.6,21,0,4,0
tulare county,2004,06107,06,107,932,1.4,224.2,728,1.6,204,1.1
tuolumne county,2004,06109,06,109,90,0.1,146.5,67,0.1,23,0.1
ventura county,2004,06111,06,111,681,1.1,85.9,516,1.1,165,0.9
yolo county,2004,06113,06,113,439,0.7,248.1,328,0.7,111,0.6
yuba county,2004,06115,06,115,156,0.2,229.8,136,0.3,20,0.1
alameda county,2003,06001,06,001,1326,2.2,86.4,967,2.2,359,2.3
alpine county,2003,06003,06,003,3,0,226.2,3,0,0,0
amador county,2003,06005,06,005,77,0.1,213.8,65,0.1,12,0.1
butte county,2003,06007,06,007,488,0.8,217.5,424,1,64,0.4
calaveras county,2003,06009,06,009,46,0.1,99.9,42,0.1,4,0
colusa county,2003,06011,06,011,34,0.1,140.9,31,0.1,3,0
contra costa county,2003,06013,06,013,550,0.9,57.1,426,1,124,0.8
del norte county,2003,06015,06,015,60,0.1,181.2,52,0.1,8,0.1
el dorado county,2003,06017,06,017,131,0.2,72.7,104,0.2,27,0.2
fresno county,2003,06019,06,019,2235,3.8,261.7,1796,4.1,439,2.8
glenn county,2003,06021,06,021,65,0.1,201.4,56,0.1,9,0.1
humboldt county,2003,06023,06,023,290,0.5,221.7,223,0.5,67,0.4
imperial county,2003,06025,06,025,108,0.2,61.8,71,0.2,37,0.2
inyo county,2003,06027,06,027,39,0.1,208.9,33,0.1,6,0
kern county,2003,06029,06,029,2266,3.8,310.4,1715,3.9,551,3.5
kings county,2003,06031,06,031,468,0.8,347.1,424,1,44,0.3
lake county,2003,06033,06,033,163,0.3,247.1,142,0.3,21,0.1
lassen county,2003,06035,06,035,48,0.1,125.1,44,0.1,4,0
los angeles county,2003,06037,06,037,18833,31.9,186.7,13071,30.1,5762,36.7
madera county,2003,06039,06,039,289,0.5,205.8,237,0.5,52,0.3
marin county,2003,06041,06,041,99,0.2,39.3,84,0.2,15,0.1
mariposa county,2003,06043,06,043,32,0.1,176.9,26,0.1,6,0
mendocino county,2003,06045,06,045,144,0.2,151.6,122,0.3,22,0.1
merced county,2003,06047,06,047,466,0.8,203,358,0.8,108,0.7
modoc county,2003,06049,06,049,21,0,194.6,20,0,1,0
mono county,2003,06051,06,051,15,0,131.5,14,0,1,0
monterey county,2003,06053,06,053,573,1,134.8,448,1,125,0.8
napa county,2003,06055,06,055,162,0.3,121.9,140,0.3,22,0.1
nevada county,2003,06057,06,057,51,0.1,48.7,44,0.1,7,0
orange county,2003,06059,06,059,3775,6.4,128,2829,6.5,946,6
placer county,2003,06061,06,061,331,0.6,122.4,258,0.6,73,0.5
plumas county,2003,06063,06,063,20,0,93.9,18,0,2,0
riverside county,2003,06065,06,065,4417,7.5,254.3,3043,7,1374,8.8
sacramento county,2003,06067,06,067,2150,3.6,167.6,1503,3.5,647,4.1
san benito county,2003,06069,06,069,40,0.1,70.2,35,0.1,5,0
san bernardino county,2003,06071,06,071,5122,8.7,275.1,3702,8.5,1420,9
san diego county,2003,06073,06,073,3825,6.5,122.5,2620,6,1205,7.7
san francisco county,2003,06075,06,075,338,0.6,42.5,256,0.6,82,0.5
san joaquin county,2003,06077,06,077,809,1.4,130.2,719,1.7,90,0.6
san luis obispo county,2003,06079,06,079,235,0.4,85,175,0.4,60,0.4
san mateo county,2003,06081,06,081,649,1.1,83.4,522,1.2,127,0.8
santa barbara county,2003,06083,06,083,641,1.1,149.8,506,1.2,135,0.9
santa clara county,2003,06085,06,085,2485,4.2,133.8,1994,4.6,491,3.1
santa cruz county,2003,06087,06,087,166,0.3,60.8,127,0.3,39,0.2
shasta county,2003,06089,06,089,527,0.9,280.3,422,1,105,0.7
sierra county,2003,06091,06,091,3,0,86.2,3,0,0,0
siskiyou county,2003,06093,06,093,81,0.1,174.4,70,0.2,11,0.1
solano county,2003,06095,06,095,793,1.3,186.8,612,1.4,181,1.2
sonoma county,2003,06097,06,097,374,0.6,76.8,326,0.8,48,0.3
stanislaus county,2003,06099,06,099,751,1.3,150.7,546,1.3,205,1.3
sutter county,2003,06101,06,101,215,0.4,244.4,186,0.4,29,0.2
tehama county,2003,06103,06,103,188,0.3,313,163,0.4,25,0.2
trinity county,2003,06105,06,105,32,0.1,230.6,27,0.1,5,0
tulare county,2003,06107,06,107,812,1.4,199.7,634,1.5,178,1.1
tuolumne county,2003,06109,06,109,68,0.1,113.1,60,0.1,8,0.1
ventura county,2003,06111,06,111,591,1,75.5,437,1,154,1
yolo county,2003,06113,06,113,391,0.7,225,286,0.7,105,0.7
yuba county,2003,06115,06,115,201,0.3,300.5,160,0.4,41,0.3
alameda county,2002,06001,06,001,1453,2.7,96,1019,2.6,434,3
alpine county,2002,06003,06,003,3,0,232.2,3,0,0,0
amador county,2002,06005,06,005,56,0.1,157.2,48,0.1,8,0.1
butte county,2002,06007,06,007,387,0.7,176.9,341,0.9,46,0.3
calaveras county,2002,06009,06,009,40,0.1,89.5,34,0.1,6,0
colusa county,2002,06011,06,011,30,0.1,130.1,22,0.1,8,0.1
contra costa county,2002,06013,06,013,576,1.1,60.4,432,1.1,144,1
del norte county,2002,06015,06,015,42,0.1,129.5,28,0.1,14,0.1
el dorado county,2002,06017,06,017,126,0.2,72.2,109,0.3,17,0.1
fresno county,2002,06019,06,019,1633,3.1,194.5,1326,3.4,307,2.1
glenn county,2002,06021,06,021,40,0.1,127.9,31,0.1,9,0.1
humboldt county,2002,06023,06,023,261,0.5,200.8,209,0.5,52,0.4
imperial county,2002,06025,06,025,136,0.3,81,97,0.3,39,0.3
inyo county,2002,06027,06,027,38,0.1,204.5,34,0.1,4,0
kern county,2002,06029,06,029,2198,4.1,308.6,1711,4.4,487,3.4
kings county,2002,06031,06,031,421,0.8,318.7,373,1,48,0.3
lake county,2002,06033,06,033,154,0.3,240.4,131,0.3,23,0.2
lassen county,2002,06035,06,035,96,0.2,255.6,89,0.2,7,0
los angeles county,2002,06037,06,037,17131,32.3,171.2,11813,30.5,5318,37
madera county,2002,06039,06,039,282,0.5,207.8,241,0.6,41,0.3
marin county,2002,06041,06,041,102,0.2,40.7,88,0.2,14,0.1
mariposa county,2002,06043,06,043,30,0.1,169.9,26,0.1,4,0
mendocino county,2002,06045,06,045,122,0.2,130.5,112,0.3,10,0.1
merced county,2002,06047,06,047,381,0.7,169.6,304,0.8,77,0.5
modoc county,2002,06049,06,049,19,0,177.5,18,0,1,0
mono county,2002,06051,06,051,15,0,133.4,12,0,3,0
monterey county,2002,06053,06,053,401,0.8,96.1,310,0.8,91,0.6
napa county,2002,06055,06,055,132,0.2,100.7,107,0.3,25,0.2
nevada county,2002,06057,06,057,68,0.1,66.5,59,0.2,9,0.1
orange county,2002,06059,06,059,2869,5.4,98.6,2081,5.4,788,5.5
placer county,2002,06061,06,061,339,0.6,129.6,286,0.7,53,0.4
plumas county,2002,06063,06,063,23,0,108.6,20,0.1,3,0
riverside county,2002,06065,06,065,3846,7.3,228.8,2600,6.7,1246,8.7
sacramento county,2002,06067,06,067,1788,3.4,142,1231,3.2,557,3.9
san benito county,2002,06069,06,069,65,0.1,117.6,57,0.1,8,0.1
san bernardino county,2002,06071,06,071,4576,8.6,251.9,3268,8.5,1308,9.1
san diego county,2002,06073,06,073,3774,7.1,123.1,2626,6.8,1148,8
san francisco county,2002,06075,06,075,378,0.7,47.5,292,0.8,86,0.6
san joaquin county,2002,06077,06,077,695,1.3,114.4,617,1.6,78,0.5
san luis obispo county,2002,06079,06,079,252,0.5,93.6,188,0.5,64,0.4
san mateo county,2002,06081,06,081,635,1.2,82.5,508,1.3,127,0.9
santa barbara county,2002,06083,06,083,517,1,122.3,403,1,114,0.8
santa clara county,2002,06085,06,085,2241,4.2,122.7,1749,4.5,492,3.4
santa cruz county,2002,06087,06,087,200,0.4,74.4,154,0.4,46,0.3
shasta county,2002,06089,06,089,392,0.7,213.1,322,0.8,70,0.5
sierra county,2002,06091,06,091,1,0,28.8,1,0,0,0
siskiyou county,2002,06093,06,093,77,0.1,167.3,61,0.2,16,0.1
solano county,2002,06095,06,095,677,1.3,162.6,514,1.3,163,1.1
sonoma county,2002,06097,06,097,394,0.7,82.4,341,0.9,53,0.4
stanislaus county,2002,06099,06,099,653,1.2,134.6,465,1.2,188,1.3
sutter county,2002,06101,06,101,200,0.4,232.6,162,0.4,38,0.3
tehama county,2002,06103,06,103,192,0.4,326.7,160,0.4,32,0.2
trinity county,2002,06105,06,105,34,0.1,247.4,28,0.1,6,0
tulare county,2002,06107,06,107,726,1.4,182.6,571,1.5,155,1.1
tuolumne county,2002,06109,06,109,81,0.2,137.7,55,0.1,26,0.2
ventura county,2002,06111,06,111,543,1,70.2,401,1,142,1
yolo county,2002,06113,06,113,324,0.6,190,236,0.6,88,0.6
yuba county,2002,06115,06,115,168,0.3,254.9,144,0.4,24,0.2
alameda county,2000,06001,06,001,1935,3.4,131.6,1424,3.5,511,3.2
alpine county,2000,06003,06,003,0,0,0,0,0,0,0
amador county,2000,06005,06,005,32,0.1,91.8,28,0.1,4,0
butte county,2000,06007,06,007,340,0.6,164.1,290,0.7,50,0.3
calaveras county,2000,06009,06,009,18,0,42.8,14,0,4,0
colusa county,2000,06011,06,011,23,0,109.7,20,0,3,0
contra costa county,2000,06013,06,013,588,1,63.1,422,1,166,1
del norte county,2000,06015,06,015,54,0.1,173.3,48,0.1,6,0
el dorado county,2000,06017,06,017,141,0.3,86.4,115,0.3,26,0.2
fresno county,2000,06019,06,019,1478,2.6,182.2,1143,2.8,335,2.1
glenn county,2000,06021,06,021,46,0.1,157,39,0.1,7,0
humboldt county,2000,06023,06,023,194,0.3,151.1,146,0.4,48,0.3
imperial county,2000,06025,06,025,147,0.3,95.1,109,0.3,38,0.2
inyo county,2000,06027,06,027,27,0,146.4,24,0.1,3,0
kern county,2000,06029,06,029,2114,3.8,312.1,1575,3.9,539,3.4
kings county,2000,06031,06,031,430,0.8,339.5,358,0.9,72,0.4
lake county,2000,06033,06,033,153,0.3,254.7,139,0.3,14,0.1
lassen county,2000,06035,06,035,62,0.1,172.4,46,0.1,16,0.1
los angeles county,2000,06037,06,037,18581,33,188.9,12625,31.3,5956,37.2
madera county,2000,06039,06,039,298,0.5,235.8,246,0.6,52,0.3
marin county,2000,06041,06,041,90,0.2,36.2,67,0.2,23,0.1
mariposa county,2000,06043,06,043,17,0,101.4,16,0,1,0
mendocino county,2000,06045,06,045,118,0.2,130.5,93,0.2,25,0.2
merced county,2000,06047,06,047,420,0.6,195.1,325,0.7,95,0.6
modoc county,2000,06049,06,049,10,0,95.4,8,0,2,0
mono county,2000,06051,06,051,16,0,146.9,13,0,3,0
monterey county,2000,06053,06,053,477,0.8,118.7,355,0.9,122,0.8
napa county,2000,06055,06,055,113,0.2,88.9,87,0.2,26,0.2
nevada county,2000,06057,06,057,43,0.1,44.3,36,0.1,7,0
orange county,2000,06059,06,059,3671,6.5,129.6,2639,6.6,1032,6.4
placer county,2000,06061,06,061,293,0.5,120.3,231,0.6,62,0.4
plumas county,2000,06063,06,063,26,0,124.7,25,0.1,1,0
riverside county,2000,06065,06,065,3490,6.2,222.2,2275,5.6,1215,7.6
sacramento county,2000,06067,06,067,2074,3.7,171,1341,3.3,733,4.6
san benito county,2000,06069,06,069,49,0.1,94.5,36,0.1,13,0.1
san bernardino county,2000,06071,06,071,4670,8.3,270.3,3376,8.4,1294,8.1
san diego county,2000,06073,06,073,4176,7.4,141.9,2841,7.1,1335,8.3
san francisco county,2000,06075,06,075,581,1,73.4,451,1.1,130,0.8
san joaquin county,2000,06077,06,077,761,1.4,131.3,649,1.6,112,0.7
san luis obispo county,2000,06079,06,079,164,0.3,64.4,113,0.3,51,0.3
san mateo county,2000,06081,06,081,637,1.1,85.3,478,1.2,159,1
santa barbara county,2000,06083,06,083,499,0.9,121.1,384,1,115,0.7
santa clara county,2000,06085,06,085,2303,4.1,130.6,1842,4.6,461,2.9
santa cruz county,2000,06087,06,087,228,0.4,87.6,185,0.5,43,0.3
shasta county,2000,06089,06,089,477,0.8,271.4,386,1,91,0.6
sierra county,2000,06091,06,091,4,0,115.7,3,0,1,0
siskiyou county,2000,06093,06,093,98,0.2,216.8,85,0.2,13,0.1
solano county,2000,06095,06,095,644,1.1,161.1,499,1.2,145,0.9
sonoma county,2000,06097,06,097,415,0.7,90.4,329,0.8,86,0.5
stanislaus county,2000,06099,06,099,706,1.3,153.8,469,1.2,237,1.5
sutter county,2000,06101,06,101,204,0.4,248.7,163,0.4,41,0.3
tehama county,2000,06103,06,103,158,0.3,278.8,133,0.3,25,0.2
trinity county,2000,06105,06,105,14,0,103.8,10,0,4,0
tulare county,2000,06107,06,107,668,1.2,175.8,519,1.3,149,0.9
tuolumne county,2000,06109,06,109,74,0.1,131.8,65,0.2,9,0.1
ventura county,2000,06111,06,111,709,1.3,94.1,545,1.4,164,1
yolo county,2000,06113,06,113,391,0.7,238.4,284,0.7,107,0.7
yuba county,2000,06115,06,115,138,0.2,215.7,109,0.3,29,0.2
alameda county,1999,06001,06,001,1690,2.8,116.7,1221,2.8,469,2.7
alpine county,1999,06003,06,003,2,0,163.1,2,0,0,0
amador county,1999,06005,06,005,34,0.1,98.8,27,0.1,7,0
butte county,1999,06007,06,007,374,0.6,183.1,301,0.7,73,0.4
calaveras county,1999,06009,06,009,24,0,59.1,17,0,7,0
colusa county,1999,06011,06,011,36,0.1,179.2,30,0.1,6,0
contra costa county,1999,06013,06,013,692,1.2,75.1,467,1.1,225,1.3
del norte county,1999,06015,06,015,47,0.1,154.8,38,0.1,9,0.1
el dorado county,1999,06017,06,017,170,0.3,108.3,134,0.3,36,0.2
fresno county,1999,06019,06,019,1518,2.5,189.7,1162,2.7,356,2.1
glenn county,1999,06021,06,021,47,0.1,165.3,34,0.1,13,0.1
humboldt county,1999,06023,06,023,206,0.3,161.4,160,0.4,46,0.3
imperial county,1999,06025,06,025,149,0.2,99.1,110,0.3,39,0.2
inyo county,1999,06027,06,027,40,0.1,218,35,0.1,5,0
kern county,1999,06029,06,029,2205,3.7,332.8,1699,4,506,3
kings county,1999,06031,06,031,340,0.6,274.9,292,0.7,48,0.3
lake county,1999,06033,06,033,100,0.2,171.4,92,0.2,8,0
lassen county,1999,06035,06,035,71,0.1,201.7,65,0.2,6,0
los angeles county,1999,06037,06,037,20559,34.3,211.3,14056,32.7,6503,38
madera county,1999,06039,06,039,222,0.4,182.3,184,0.4,38,0.2
marin county,1999,06041,06,041,102,0.2,41.3,83,0.2,19,0.1
mariposa county,1999,06043,06,043,23,0,140.8,21,0,2,0
mendocino county,1999,06045,06,045,93,0.2,104.5,72,0.2,21,0.1
merced county,1999,06047,06,047,400,0.7,189.8,315,0.7,85,0.5
modoc county,1999,06049,06,049,15,0,144.5,11,0,4,0
mono county,1999,06051,06,051,7,0,65.2,7,0,0,0
monterey county,1999,06053,06,053,505,0.8,127.8,383,0.9,122,0.7
napa county,1999,06055,06,055,85,0.1,67.9,72,0.2,13,0.1
nevada county,1999,06057,06,057,69,0.1,73.4,56,0.1,13,0.1
orange county,1999,06059,06,059,3991,6.6,143.2,2878,6.7,1113,6.5
placer county,1999,06061,06,061,255,0.4,109.1,199,0.5,56,0.3
plumas county,1999,06063,06,063,20,0,96.6,18,0,2,0
riverside county,1999,06065,06,065,3628,6,238.8,2404,5.6,1224,7.2
sacramento county,1999,06067,06,067,2174,3.6,182.8,1492,3.5,682,4
san benito county,1999,06069,06,069,44,0.1,87.8,37,0.1,7,0
san bernardino county,1999,06071,06,071,4585,7.6,271.5,3248,7.6,1337,7.8
san diego county,1999,06073,06,073,4870,8.1,168.8,3297,7.7,1573,9.2
san francisco county,1999,06075,06,075,746,1.2,94.6,557,1.3,189,1.1
san joaquin county,1999,06077,06,077,939,1.6,165.7,752,1.8,187,1.1
san luis obispo county,1999,06079,06,079,198,0.3,79.9,130,0.3,68,0.4
san mateo county,1999,06081,06,081,711,1.2,96.7,546,1.3,165,1
santa barbara county,1999,06083,06,083,544,0.9,133.2,423,1,121,0.7
santa clara county,1999,06085,06,085,2430,4,140.3,1955,4.6,475,2.8
santa cruz county,1999,06087,06,087,220,0.4,86,184,0.4,36,0.2
shasta county,1999,06089,06,089,449,0.7,262.2,356,0.8,93,0.5
sierra county,1999,06091,06,091,2,0,58.4,2,0,0,0
siskiyou county,1999,06093,06,093,107,0.2,238.6,82,0.2,25,0.1
solano county,1999,06095,06,095,694,1.2,177,508,1.2,186,1.1
sonoma county,1999,06097,06,097,445,0.7,98.8,371,0.9,74,0.4
stanislaus county,1999,06099,06,099,694,1.2,155.6,494,1.2,200,1.2
sutter county,1999,06101,06,101,239,0.4,298.8,188,0.4,51,0.3
tehama county,1999,06103,06,103,150,0.2,268.8,119,0.3,31,0.2
trinity county,1999,06105,06,105,20,0,149.8,15,0,5,0
tulare county,1999,06107,06,107,677,1.1,182.2,509,1.2,168,1
tuolumne county,1999,06109,06,109,93,0.2,170.2,80,0.2,13,0.1
ventura county,1999,06111,06,111,792,1.3,106.3,607,1.4,185,1.1
yolo county,1999,06113,06,113,351,0.6,218.3,251,0.6,100,0.6
yuba county,1999,06115,06,115,131,0.2,207.7,83,0.2,48,0.3
alameda county,1998,06001,06,001,1602,2.5,112.4,1139,2.4,463,2.7
alpine county,1998,06003,06,003,1,0,82.2,1,0,0,0
amador county,1998,06005,06,005,30,0,88.3,28,0.1,2,0
butte county,1998,06007,06,007,452,0.7,224.5,388,0.8,64,0.4
calaveras county,1998,06009,06,009,23,0,58.7,21,0,2,0
colusa county,1998,06011,06,011,59,0.1,305.9,51,0.1,8,0
contra costa county,1998,06013,06,013,684,1.1,75,427,0.9,257,1.5
del norte county,1998,06015,06,015,82,0.1,279,71,0.2,11,0.1
el dorado county,1998,06017,06,017,164,0.3,108.1,143,0.3,21,0.1
fresno county,1998,06019,06,019,1556,2.4,197.1,1168,2.5,388,2.2
glenn county,1998,06021,06,021,86,0.1,311.5,67,0.1,19,0.1
humboldt county,1998,06023,06,023,185,0.3,145.8,152,0.3,33,0.2
imperial county,1998,06025,06,025,114,0.2,77.9,81,0.2,33,0.2
inyo county,1998,06027,06,027,40,0.1,218.6,36,0.1,4,0
kern county,1998,06029,06,029,2251,3.5,347.3,1755,3.8,496,2.9
kings county,1998,06031,06,031,339,0.5,282.9,297,0.6,42,0.2
lake county,1998,06033,06,033,101,0.2,178.2,87,0.2,14,0.1
